Cod_mun,Código do Item Geográfico,Município,Ordem Geográfica,Ano,Totobit,ObitN,ObitP,População
260005,2600054,Abreu e Lima,2,1999,33,24,9,82849
260010,2600104,Afogados da Ingazeira,3,1999,24,15,9,33874
260020,2600203,Afrânio,4,1999,15,8,7,14146
260030,2600302,Agrestina,5,1999,26,10,16,18605
260040,2600401,Água Preta,6,1999,53,21,32,25442
260050,2600500,Águas Belas,7,1999,16,7,9,34791
260060,2600609,Alagoinha,8,1999,4,1,3,11728
260070,2600708,Aliança,9,1999,42,11,31,36579
260080,2600807,Altinho,10,1999,25,8,17,20777
260090,2600906,Amaraji,11,1999,15,11,4,20768
260100,2601003,Angelim,12,1999,8,4,4,8123
260105,2601052,Araçoiaba,13,1999,13,5,8,12846
260110,2601102,Araripina,14,1999,13,5,8,65438
260120,2601201,Arcoverde,15,1999,48,23,25,60190
260130,2601300,Barra de Guabiraba,16,1999,10,5,5,11171
260140,2601409,Barreiros,17,1999,34,15,19,37262
260150,2601508,Belém de Maria,18,1999,21,4,17,15168
260160,2601607,Belém do São Francisco,19,1999,5,4,1,20678
260170,2601706,Belo Jardim,20,1999,126,51,75,71871
260180,2601805,Betânia,21,1999,3,3,,10386
260190,2601904,Bezerros,22,1999,43,19,24,52556
260200,2602001,Bodocó,23,1999,37,11,26,24751
260210,2602100,Bom Conselho,24,1999,70,20,50,40659
260220,2602209,Bom Jardim,25,1999,29,19,10,38304
260230,2602308,Bonito,26,1999,30,16,14,33877
260240,2602407,Brejão,27,1999,14,8,6,7872
260250,2602506,Brejinho,28,1999,3,2,1,6880
260260,2602605,Brejo da Madre de Deus,29,1999,50,30,20,37122
260270,2602704,Buenos Aires,30,1999,14,5,9,12918
260280,2602803,Buíque,31,1999,34,9,25,38572
260290,2602902,Cabo de Santo Agostinho,32,1999,108,73,35,149965
260300,2603009,Cabrobó,33,1999,9,4,5,27040
260310,2603108,Cachoeirinha,34,1999,17,9,8,15357
260320,2603207,Caetés,35,1999,27,17,10,19214
260330,2603306,Calçado,36,1999,11,4,7,11195
260340,2603405,Calumbi,37,1999,,0,,7153
260345,2603454,Camaragibe,38,1999,46,35,11,118967
260350,2603504,Camocim de São Félix,39,1999,5,1,4,14648
260360,2603603,Camutanga,40,1999,5,1,4,7897
260370,2603702,Canhotinho,41,1999,30,14,16,22502
260380,2603801,Capoeiras,42,1999,14,4,10,19134
260390,2603900,Carnaíba,43,1999,14,7,7,17884
260392,2603926,Carnaubeira da Penha,44,1999,2,1,1,11005
260400,2604007,Carpina,45,1999,28,14,14,55191
